participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516114954722563_9874,images,1,12,old,u,1,0.9297482967376709
20250516114954722563_9874,images,2,7,new,i,1,0.5959360599517822
20250516114954722563_9874,images,3,9,old,u,1,1.4170351028442383
20250516114954722563_9874,images,4,15,new,u,0,0.8064060211181641
20250516114954722563_9874,images,5,10,old,u,1,0.6396679878234863
20250516114954722563_9874,images,6,8,old,i,0,0.564979076385498
20250516114954722563_9874,images,7,13,old,u,1,0.7532079219818115
20250516114954722563_9874,images,8,3,new,u,0,0.6187782287597656
20250516114954722563_9874,images,9,2,new,u,0,0.7275032997131348
20250516114954722563_9874,images,10,5,new,i,1,0.4912989139556885
