participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt,confidence
20250516124517213436_2367,images,1,44,old,i,0,23.708630084991455,3
20250516124517213436_2367,images,2,38,old,u,1,0.19245481491088867,3
20250516124517213436_2367,images,3,46,new,i,1,0.2790689468383789,3
20250516124517213436_2367,images,4,33,old,u,1,0.6255109310150146,3
20250516124517213436_2367,images,5,36,new,i,1,0.2926499843597412,3
20250516124517213436_2367,images,6,37,new,i,1,0.4222900867462158,3
20250516124517213436_2367,images,7,45,old,u,1,0.7596290111541748,3
20250516124517213436_2367,images,8,34,old,i,0,0.4506721496582031,3
20250516124517213436_2367,images,9,40,new,u,0,0.36216115951538086,3
20250516124517213436_2367,images,10,41,new,i,1,0.5164518356323242,3
